brand_name,match_status,matched_image_svg,matched_image_png,price_count,top_100_by_price
PENNY.,exact,penny.svg,,2,
Petco,exact,,petco.png,20,
Pete's Market,exact,,petes-market.png,1,
Pharmaprix,exact,,pharmaprix.png,1,
Picard,exact,,picard.png,349,yes
Pick n Pay,exact,pick-n-pay.svg,,1,
Pick n Pay Clothing,no,,,1,
Pick n Pay Express,exact,,pick-n-pay-express.png,3,
Picnic,no,,,2,
Pingo Doce,exact,,pingo-doce.png,13,
Plaza Vea,exact,,plaza-vea.png,2,
Plodine,exact,plodine.svg,,99,
PLUS,exact,,plus.png,16,
Poundland,exact,,poundland.png,3,
Power,exact,,power.png,1,
Premier,no,,,1,
Price Rite,exact,,price-rite.png,1,
Primaprix,exact,,primaprix.png,8,
Prisma,exact,,prisma.png,5,
Prix,exact,,prix.png,1,
Profi,exact,,profi.png,4,
Provigo,no,,,1,
Proxi,exact,,proxi.png,261,yes
Proximarché,no,,,54,
Proxy Delhaize,exact,proxy-delhaize.svg,,37,
Publix,exact,publix.svg,,28,
QFC,exact,,qfc.png,8,
Radatz,no,,,2,
Ralphs,exact,ralphs.svg,,1,
Real Canadian Superstore,exact,,real-canadian-superstore.png,99,
Reformhaus Bacher,exact,,reformhaus-bacher.png,1,
Relay,exact,,relay.png,142,
Reliance Digital,exact,,reliance-digital.png,1,
Reliance Fresh,no,,,2,
Rema 1000,exact,,rema-1000.png,2261,yes
REWE,exact,rewe.svg,,511,yes
Rewe,exact,rewe.svg,,391,yes
REWE City,exact,,rewe-city.png,23,
Rewe City,exact,,rewe-city.png,1,
REWE Getränkemarkt,exact,,rewe-getrankemarkt.png,1,
REWE To Go,exact,,rewe-to-go.png,16,
Rimi,exact,,rimi.png,260,yes
rmhildebrandt,no,,,46,
Rossmann,exact,rossmann.svg,,267,yes
Rusta,exact,,rusta.png,17,
Safeway,exact,safeway.svg,safeway.png,11067,yes
Sainsbury's,exact,,sainsburys.png,144,
Sainsbury's Local,exact,,sainsburys-local.png,51,
Sale,exact,sale.svg,,862,yes
Sam's Club,exact,,sams-club.png,3,
Satoriz,exact,,satoriz.png,195,yes
Saturn,exact,saturn.svg,,1,
Save-On-Foods,exact,save-on-foods.svg,,60,
Savers,exact,,savers.png,3,
Schnucks,exact,,schnucks.png,1,
Selex,no,,,1,
Selver,exact,,selver.png,6,
Sephora,exact,sephora.svg,,2,
Shell,exact,,shell.png,1,
Sherpa,no,,,118,
Shop&Go,no,,,1,
Shoppers Drug Mart,exact,,shoppers-drug-mart.png,3,
ShopRite,exact,,shoprite.png,310,yes
Shoprite,exact,,shoprite.png,2,
